       starname             bjd              rv           rverr            fwhm             bis          biserr              sh           sherr             qsh             tel 
          HD360   2457262.15969        11.75394         3.92934         9.76447       159.52878         8.62596             nan             nan             nan         HIDESF1 
          HD360   2457284.17218        -1.72371         3.81394         9.77249       184.16683         6.00014             nan             nan             nan         HIDESF1 
          HD360   2457304.15426         1.58759         3.29845         9.76187       158.57715         6.87187             nan             nan             nan         HIDESF1 
          HD360   2457305.17888        41.83807         3.33140         9.76180       158.71910         7.08452             nan             nan             nan         HIDESF1 
          HD360   2457321.96823         8.72735         3.94763         9.77440       155.01054         8.52425             nan             nan             nan         HIDESF1 
          HD360   2457324.12346        -4.31702         3.45558         9.75039       140.65643         5.54525             nan             nan             nan         HIDESF1 
          HD360   2457329.12431        42.39076         4.16749         9.45868       215.00111        10.65948         0.17994         0.06909         1.00000          HIDESS 
          HD360   2457331.94851       -10.91178         4.62226         9.74214       131.75782         7.86815             nan             nan             nan         HIDESF1 
          HD360   2457332.05510         1.36728         3.62183         9.79098       165.63739         7.48474             nan             nan             nan         HIDESF1 
          HD360   2457352.95992        -1.72513         4.40466         9.71890       160.42161         7.72849             nan             nan             nan         HIDESF1 
          HD360   2457361.03547        26.03911         8.99466             nan             nan             nan             nan             nan             nan         HIDESF1 
          HD360   2457378.05076       -25.23772         4.53733         9.85104       174.16074        17.04957             nan             nan             nan         HIDESF1 
          HD360   2457389.89084       -25.71353         3.25208         9.82721       167.01092         7.54453             nan             nan             nan         HIDESF1 
          HD360   2457391.95403        -6.76284         3.98861         9.79210       180.65969        14.11346             nan             nan             nan         HIDESF1 
          HD360   2457401.90734        -7.57235         5.32428         9.79090       206.88839        16.67889             nan             nan             nan         HIDESF1 
          HD360   2457402.89959         4.05675         3.27703         9.79214       189.84475         9.47734             nan             nan             nan         HIDESF1 
          HD360   2457592.19407         2.28915         3.69520         9.77462       162.45330         7.49279             nan             nan             nan         HIDESF1 
          HD360   2457626.21935        -4.41409         4.00919         9.77809       148.28544         5.88896             nan             nan             nan         HIDESF1 
          HD360   2457676.12083       -19.67759         3.26958         9.78702       167.09465         6.79225             nan             nan             nan         HIDESF1 
          HD360   2457691.09746       -11.45511         5.02548             nan             nan             nan             nan             nan             nan         HIDESF1 
          HD360   2457721.96941         3.92315         4.81323         9.81599       174.93334        13.66880             nan             nan             nan         HIDESF1 
          HD360   2457728.87468        15.08111         3.66951         9.80348       159.73808        10.17366             nan             nan             nan         HIDESF1 
          HD360   2457743.96963        -1.69813         5.71392         9.77924       155.62659         9.86725             nan             nan             nan         HIDESF1 
          HD360   2457751.92930        28.68847         3.57006         9.71966       172.88884        11.86311             nan             nan             nan         HIDESF1 
          HD360   2457752.91330        24.85339         2.72997         9.79327       166.56704         6.71448             nan             nan             nan         HIDESF1 
          HD360   2457950.21215         2.80276         3.93616         9.82360       155.46587         6.81317             nan             nan             nan         HIDESF1 
          HD360   2457986.15684       -14.42607         4.40559         9.79986       188.49970         8.84267             nan             nan             nan         HIDESF1 
          HD360   2458022.15481        -4.02719         3.75337         9.79941       173.59496         7.58720             nan             nan             nan         HIDESF1 
          HD360   2458044.17998         3.96119         4.20227         9.80026       187.27902        12.40137             nan             nan             nan         HIDESF1 
          HD360   2458086.05177        43.33995         3.54051         9.82149       161.79372         8.05872             nan             nan             nan         HIDESF1 
          HD360   2458108.89736        61.71744         3.07347         9.84680       173.39623         6.66518             nan             nan             nan         HIDESF1 
         HD2952   2453024.97403       -22.60285         3.54288             nan             nan             nan             nan             nan             nan          HIDESS 
         HD2952   2453025.97196       -41.65628         4.03585             nan             nan             nan             nan             nan             nan          HIDESS 
         HD2952   2453246.14555       -17.76811         4.07493             nan             nan             nan             nan             nan             nan          HIDESS 
         HD2952   2453332.98294       -35.14347         3.59039             nan             nan             nan             nan             nan             nan          HIDESS 
         HD2952   2453406.94357         0.24011         4.03372             nan             nan             nan             nan             nan             nan          HIDESS 
         HD2952   2453607.23677        -6.24614         4.00802             nan             nan             nan             nan             nan             nan          HIDESS 
         HD2952   2453694.19610         8.61689         4.13783             nan             nan             nan             nan             nan             nan          HIDESS 
         HD2952   2453744.02092        19.41844         3.41682             nan             nan             nan             nan             nan             nan          HIDESS 
         HD2952   2454018.30760        -3.67523         4.28885             nan             nan             nan             nan             nan             nan          HIDESS 
         HD2952   2454128.91386        46.75177         8.88668             nan             nan             nan             nan             nan             nan          HIDESS 
         HD2952   2454147.92341        27.93364        10.88767             nan             nan             nan             nan             nan             nan          HIDESS 
         HD2952   2454339.27782       -13.84010         3.43215             nan             nan             nan             nan             nan             nan          HIDESS 
         HD2952   2454757.01318        17.64939         3.43173         9.42814       155.28478         5.35822         0.14425         0.02219         1.00000          HIDESS 
         HD2952   2455135.22827        -1.86713         3.73905         9.44293       142.96334         5.62234         0.09679         0.02808         1.00000          HIDESS 
         HD2952   2455166.06600       -34.15743         3.78300         9.43959       172.71955         4.72706         0.14358         0.01791         1.00000          HIDESS 
         HD2952   2455185.99224       -36.46102         3.62602         9.48190       185.03240         6.09715         0.13123         0.01806         1.00000          HIDESS 
         HD2952   2455203.99179       -46.26957         3.16105         9.48796       184.88017         7.26995         0.10295         0.01770         1.00000          HIDESS 
         HD2952   2455233.95869       -18.28827         2.87222         9.43606       182.28728         5.15694         0.11905         0.02339         1.00000          HIDESS 
         HD2952   2455351.27742        46.38826         3.86625         9.35366       125.95377         4.65501         0.03310         0.02428         1.00000          HIDESS 
         HD2952   2455398.25056        43.19556         3.50018         9.39329       161.38253         4.25580         0.14450         0.02089         1.00000          HIDESS 
         HD2952   2455437.15541         7.95190         3.51449         9.44180       171.23554         5.44050         0.13643         0.01889         1.00000          HIDESS 
         HD2952   2455468.21494       -17.11232         3.90699         9.43277       177.28598         5.64937         0.36889         0.03444         1.00000          HIDESS 
         HD2952   2455499.01290       -14.13572         5.09270         9.46888       157.89107         6.32874         0.09621         0.02427         1.00000          HIDESS 
         HD2952   2455524.96691       -16.62058         3.39936         9.42425       177.11606         4.28323         0.15190         0.01682         1.00000          HIDESS 
         HD2952   2455545.08011       -11.56175         4.71399         9.49598       196.53192         8.60933         0.07801         0.02883         1.00000          HIDESS 
         HD2952   2455579.98404        11.53021         4.44559         9.46217       170.49232         9.64945         0.11616         0.03521         1.00000          HIDESS 
         HD2952   2455581.95262        21.20139         3.42503         9.48424       180.16348         6.51738         0.41064         0.04267         1.00000          HIDESS 
         HD2952   2455582.98417         6.52605         3.49047         9.49623       185.83761         9.05105         0.58956         0.07947         1.00000          HIDESS 
         HD2952   2455587.99752        15.22241         3.99462         9.42578       192.27780         9.22582         0.15072         0.05090         1.00000          HIDESS 
         HD2952   2455610.92897        10.86757         4.69301         9.42394       179.85693        10.86792         0.10607         0.05468         1.00000          HIDESS 
         HD2952   2455624.91274         8.52254         4.04202         9.41531       192.51523         8.85848         0.16298         0.05486         1.00000          HIDESS 
         HD2952   2455758.19033        -2.24703         3.54377         9.40808       192.33085         8.64320         0.15121         0.03126         1.00000          HIDESS 
         HD2952   2455759.20464       -15.60917         3.60178         9.39589       187.09838         6.47649         0.11314         0.02329         1.00000          HIDESS 
         HD2952   2455770.27036        -0.28563         3.54176         9.38848       180.48076         5.43179         0.13611         0.01709         1.00000          HIDESS 
         HD2952   2455785.28496         5.40450         3.72938         9.54563       181.57753         5.28828         0.15532         0.01768         1.00000          HIDESS 
         HD2952   2455789.19756       -36.14125         4.41244         9.47936       178.20683         7.94762         0.15421         0.03234         1.00000          HIDESS 
         HD2952   2455791.31899        -3.11232         4.73210         9.40137       170.92865         9.34669         0.19401         0.03251         1.00000          HIDESS 
         HD2952   2455810.31327        -9.84137         3.53611         9.41271       193.36075         4.65756         0.14328         0.01605         1.00000          HIDESS 
         HD2952   2455811.26219        -9.93010         3.18965         9.40793       199.24769         5.06627         0.13992         0.01551         1.00000          HIDESS 
         HD2952   2455847.04543         1.60591         4.09983         9.33616       181.33362         7.03320         0.10110         0.03017         1.00000          HIDESS 
         HD2952   2455879.06531       -20.96678         4.36578         9.43394       182.14074         7.76145         0.10396         0.02302         1.00000          HIDESS 
         HD2952   2455918.89099        -4.73333         4.97311         9.36500       158.91504         8.72157         0.09170         0.03478         1.00000          HIDESS 
         HD2952   2455922.97710         8.20429         3.69547         9.40132       195.64979         5.62011         0.12293         0.02040         1.00000          HIDESS 
         HD2952   2455938.92252         8.75608         3.24597         9.47651       184.05859         8.11929         0.09688         0.02316         1.00000          HIDESS 
         HD2952   2455943.88523        13.48379         3.35449         9.44242       173.39019         5.72997         0.12714         0.01997         1.00000          HIDESS 
         HD2952   2456088.28443       -19.40884         3.65654         9.41431       178.61023         6.30569         0.09792         0.02541         1.00000          HIDESS 
         HD2952   2456134.27738       -20.70824         2.67665         9.70909       171.25542         6.30710             nan             nan             nan         HIDESF1 
         HD2952   2456135.19539        -9.33595         2.93549         9.76395       169.39289         8.22626             nan             nan             nan         HIDESF1 
         HD2952   2456136.17036       -27.07092         2.79575         9.72046       189.13134         5.86613             nan             nan             nan         HIDESF1 
         HD2952   2456137.32138       -31.39179         2.58953         9.70327       164.41636         5.11032             nan             nan             nan         HIDESF1 
         HD2952   2456138.27761       -19.63859         2.74252         9.71781       173.67578         7.35447             nan             nan             nan         HIDESF1 
         HD2952   2456156.30809       -14.54854         3.46828         9.40003       183.52434         5.72805         0.14849         0.02147         1.00000          HIDESS 
         HD2952   2456157.22034         0.94016         3.59766         9.46575       179.82502         5.29601         0.14855         0.02204         1.00000          HIDESS 
         HD2952   2456165.14861       -11.68155         2.62446         9.72501       164.02280         4.19581             nan             nan             nan         HIDESF1 
         HD2952   2456213.21176        10.58670         3.80717         9.64028       173.50720         5.17215         0.24267         0.02644         1.00000          HIDESS 
         HD2952   2456219.12555        23.50516         3.09592        10.00208       139.16850         5.12567             nan             nan             nan         HIDESF1 
         HD2952   2456235.00926        21.76063         4.53339         9.64828       167.23551         6.77856         0.10428         0.02336         1.00000          HIDESS 
         HD2952   2456238.13774        35.80172         4.75756         9.69309       164.49603         7.43775         0.14777         0.03086         1.00000          HIDESS 
         HD2952   2456239.99078        28.76186         3.15396        10.01726       186.77902         6.20421             nan             nan             nan         HIDESF1 
         HD2952   2456244.04113        20.82516         3.40176         9.99822       182.22827         6.27137             nan             nan             nan         HIDESF1 
         HD2952   2456247.98548        44.64066         4.68779         9.68710       172.85793         8.73205         0.13589         0.02480         1.00000          HIDESS 
         HD2952   2456252.07800        26.21564         4.34215         9.70980       178.07657         5.51724         0.11514         0.01936         1.00000          HIDESS 
         HD2952   2456283.88505        32.92314         3.67795         9.45699       158.36866         4.90544         0.13995         0.02046         1.00000          HIDESS 
         HD2952   2456534.27016        14.38216         4.85330         9.71358       169.34676         9.38674             nan             nan             nan         HIDESF1 
         HD2952   2456597.04380         8.95879         6.50937         9.80741       167.62148        11.27004             nan             nan             nan         HIDESF1 
         HD2952   2456619.15890         0.51695         3.90210         9.35747       151.84304         5.96753         0.15825         0.04237         1.00000          HIDESS 
         HD2952   2456679.98089       -11.36543         3.71538         9.86667       192.06091         8.34769             nan             nan             nan         HIDESF1 
         HD2952   2456948.07140       -19.70361         3.06825         9.79003       165.52820         6.64931             nan             nan             nan         HIDESF1 
         HD2952   2457001.06499        -5.06854         3.40629         9.77663       149.27217         5.34865             nan             nan             nan         HIDESF1 
         HD2952   2457235.12395         0.31386         2.69237         9.76265       149.28192         5.85264             nan             nan             nan         HIDESF1 
         HD2952   2457238.15870        11.00466         3.04440         9.79136       172.66757         7.85504             nan             nan             nan         HIDESF1 
         HD2952   2457238.20178        12.29876         2.99803         9.77783       165.06760         6.74880             nan             nan             nan         HIDESF1 
         HD2952   2457238.27059         3.49440         2.85045         9.82710       154.23586         6.23728             nan             nan             nan         HIDESF1 
         HD2952   2457322.13655        14.07662         3.37228         9.75307       158.64021         5.66006             nan             nan             nan         HIDESF1 
         HD2952   2457361.13094        11.38889         3.68456         9.81794       161.46561         7.07495             nan             nan             nan         HIDESF1 
         HD2952   2457423.94618         5.23355         3.46859         9.80434       168.45739         7.39817             nan             nan             nan         HIDESF1 
         HD2952   2457592.15669         2.75053         2.71671         9.75989       155.97292         5.77477             nan             nan             nan         HIDESF1 
         HD2952   2457676.19750       -20.19552         2.74358         9.78347       174.75602         6.27303             nan             nan             nan         HIDESF1 
         HD2952   2457729.06614        -5.92490         3.49760         9.76811       166.35443         6.05089             nan             nan             nan         HIDESF1 
         HD2952   2457753.10980         2.80124         4.80918         9.75526       144.06933        15.40547             nan             nan             nan         HIDESF1 
         HD2952   2457755.99752         6.50128         3.40920         9.78154       160.75851         6.03403             nan             nan             nan         HIDESF1 
         HD2952   2457756.00361         8.36999         3.33079         9.79665       146.99802         6.45624             nan             nan             nan         HIDESF1 
         HD2952   2457986.20592        -0.95558         3.07586         9.81920       177.23224         7.85890             nan             nan             nan         HIDESF1 
         HD2952   2458086.06365         4.33623         3.17768         9.77390       153.63514         6.15449             nan             nan             nan         HIDESF1 
         HD2952   2458765.21900       -18.71676         4.61540        10.18216       132.78744         7.65173             nan             nan             nan         HIDESF2 
         HD2952   2458771.21011        -1.50149         5.23761        10.13681       152.32748        12.15537             nan             nan             nan         HIDESF2 
         HD2952   2458773.00562       -19.27272         3.37622        10.13192       162.64756         5.71955             nan             nan             nan         HIDESF2 
         HD2952   2458779.29193        -3.51895         5.37105        10.07213       157.94320         9.79723             nan             nan             nan         HIDESF2 
         HD2952   2458793.17307        -4.26173         3.25043        10.08000       128.73885         4.56160             nan             nan             nan         HIDESF2 
         HD2952   2458794.16874         0.64326         4.37441        10.11705       118.74442         9.28524             nan             nan             nan         HIDESF2 
         HD2952   2458796.24157        -2.60174         4.54789        10.05437       132.35139         7.60728             nan             nan             nan         HIDESF2 
         HD2952   2458797.15788         5.90119         3.66970        10.09829       115.40938         8.38467             nan             nan             nan         HIDESF2 
         HD2952   2458798.18468        18.40432         3.28889        10.07968       117.25377         6.33833             nan             nan             nan         HIDESF2 
         HD2952   2458800.09528        10.57770         3.53233        10.06258       112.54969         5.27611             nan             nan             nan         HIDESF2 
         HD2952   2458802.13593        -5.47418         3.91216        10.09217       153.02966         9.17490             nan             nan             nan         HIDESF2 
         HD2952   2458805.18354         8.11504         4.66919        10.15745       101.92750         7.88336             nan             nan             nan         HIDESF2 
         HD2952   2458808.16455        -7.79318         3.49580        10.07860       151.04148         8.43437             nan             nan             nan         HIDESF2 
         HD2952   2458809.08691        -7.16641         3.78854        10.12765       135.33762         6.84999             nan             nan             nan         HIDESF2 
         HD2952   2458811.20505         4.49520         3.97159        10.11153       143.84600         8.41480             nan             nan             nan         HIDESF2 
         HD2952   2458825.15840         8.90160         5.28815         9.89771       104.85954         4.46909             nan             nan             nan         HIDESF2 
         HD2952   2458826.10819        15.94010         3.80396         9.84742       122.74584         7.56460             nan             nan             nan         HIDESF2 
         HD2952   2459191.10604         0.92954         4.42121         9.84177       106.85442         3.69463             nan             nan             nan         HIDESF2 
         HD4732   2453249.26109       -53.36860         4.84576             nan             nan             nan             nan             nan             nan          HIDESS 
         HD4732   2453333.02324        -6.48183         3.45004             nan             nan             nan             nan             nan             nan          HIDESS 
         HD4732   2453579.27332       -53.56697         4.17300             nan             nan             nan             nan             nan             nan          HIDESS 
         HD4732   2453636.22283       -65.87635         6.43950             nan             nan             nan             nan             nan             nan          HIDESS 
         HD4732   2453660.14090       -56.26272         4.03480             nan             nan             nan             nan             nan             nan          HIDESS 
         HD4732   2453693.98807       -25.06689         3.68622             nan             nan             nan             nan             nan             nan          HIDESS 
         HD4732   2453728.95759        -1.06788         7.90438             nan             nan             nan             nan             nan             nan          HIDESS 
         HD4732   2453730.93233        -9.34180         4.07639             nan             nan             nan             nan             nan             nan          HIDESS 
         HD4732   2453744.94529         2.58572         4.10404             nan             nan             nan             nan             nan             nan          HIDESS 
         HD4732   2453963.27267       -58.92629         3.93831             nan             nan             nan             nan             nan             nan          HIDESS 
         HD4732   2454018.12548       -33.17852         3.59328             nan             nan             nan             nan             nan             nan          HIDESS 
         HD4732   2454049.03013       -13.76453         4.38172             nan             nan             nan             nan             nan             nan          HIDESS 
         HD4732   2454088.93716        -2.73027         3.18455             nan             nan             nan             nan             nan             nan          HIDESS 
         HD4732   2454114.88740         8.69586         5.54662             nan             nan             nan             nan             nan             nan          HIDESS 
         HD4732   2454305.29659       -44.19678         3.73392             nan             nan             nan             nan             nan             nan          HIDESS 
         HD4732   2454338.23819       -32.98085         4.29958             nan             nan             nan             nan             nan             nan          HIDESS 
         HD4732   2454380.16048       -19.02937         4.07649             nan             nan             nan             nan             nan             nan          HIDESS 
         HD4732   2454416.02501       -12.85524         4.65641             nan             nan             nan             nan             nan             nan          HIDESS 
         HD4732   2454460.93841        29.78152         3.01956         8.95340       184.35921         5.81750         0.07889         0.03143         1.00000          HIDESS 
         HD4732   2454495.89609        38.94184         9.13751         9.05862       116.36208        27.01607         0.27601         0.29724         1.00000          HIDESS 
         HD4732   2454496.90121        52.21596         4.77991         9.03886       161.07927        14.08141         0.12516         0.09049         1.00000          HIDESS 
         HD4732   2454703.25648       -34.40651         3.65305         8.93489       152.73647         7.83741         0.13093         0.02941         1.00000          HIDESS 
         HD4732   2454756.11102        -1.43787         3.42336         8.95723       147.55407         6.14632         0.13723         0.03394         1.00000          HIDESS 
         HD4732   2454796.00358        28.96778         3.70023         8.94503       167.91433         9.84178         0.15307         0.04152         1.00000          HIDESS 
         HD4732   2454817.94758        38.21341         3.62778         8.93111       163.00397         7.86467         0.12027         0.03090         1.00000          HIDESS 
         HD4732   2455101.17265        -0.80673         3.89593         8.89235       137.56553         8.72400         0.00766         0.00468         1.00000          HIDESS 
         HD4732   2455108.21221         8.25573         4.50095         8.78971       178.59982        10.25449         0.34391         0.25052         1.00000          HIDESS 
         HD4732   2455133.10660        17.68997         3.78915         8.88857       166.72782         8.88988         0.03141         0.07707         1.00000          HIDESS 
         HD4732   2455137.09625         7.49887         4.02074         8.94906       134.58233         5.52482         0.10089         0.03300         1.00000          HIDESS 
         HD4732   2455161.03578        38.07527         3.53402         8.89504       156.27075        10.39897         0.12196         0.05910         1.00000          HIDESS 
         HD4732   2455162.01286        39.52943         2.67234         8.86882       171.43811         4.97540         0.12707         0.02453         1.00000          HIDESS 
         HD4732   2455183.93004        47.20633         3.65748         8.93052       126.70579         6.13861         0.22943         0.04885         1.00000          HIDESS 
         HD4732   2455203.89329        52.63797         3.35898         8.91952       159.16037         6.85178         0.08053         0.02818         1.00000          HIDESS 
         HD4732   2455233.89755        74.34714         5.60906         8.94026       158.29726        18.11275         0.25061         0.22685         1.00000          HIDESS 
         HD4732   2455399.29248        -7.48216         3.76547         8.87768        92.57718         4.85318         0.10719         0.08222         1.00000          HIDESS 
         HD4732   2455438.18132       -19.49474         4.31524         8.86693        74.40901         5.35509         0.11009         0.10881         1.00000          HIDESS 
         HD4732   2455444.21885       -26.14667         3.48647         8.85717       131.73962         4.71493         0.06359         0.02457         1.00000          HIDESS 
         HD4732   2455468.16735         6.28185         4.79172         8.86749       155.43557        14.69924         0.09793         0.08782         1.00000          HIDESS 
         HD4732   2455480.13637        16.77316         4.33399         8.86779       109.79466         7.26018         0.08440         0.02733         1.00000          HIDESS 
         HD4732   2455503.03164        33.16869         3.62621         8.84452       107.12014         7.50202         0.06867         0.03834         1.00000          HIDESS 
         HD4732   2455510.06851        28.71827         3.60608         8.92699       141.85378         7.89783         0.05133         0.03082         1.00000          HIDESS 
         HD4732   2455524.97845        43.70141         3.37050         8.84307       130.10061         6.52879         0.10197         0.03879         1.00000          HIDESS 
         HD4732   2455546.92157        47.16615         3.36709         8.91555       111.24829         6.93369         0.04861         0.02609         1.00000          HIDESS 
         HD4732   2455579.91566        59.76920         6.22461         8.87799       136.93427         4.36820         0.56770         0.39270         1.00000          HIDESS 
         HD4732   2455787.29600        -8.40515         4.55351         8.96171       144.92240         7.21886         0.10786         0.07207         1.00000          HIDESS 
         HD4732   2455877.01723        10.81228         3.52426         8.88556       152.74117         9.34013         0.04339         0.04224         1.00000          HIDESS 
